line number,directive?,text,
1,0, and you consistently make something very s- and you say this y- this is not the exact Color varies. Yeah. This is not the exact same item that you will be Mhm. but it will be slightly different. Mhm.,
2,0, be Mhm. but it will be slightly different. Mhm. [noise] Yeah.,
3,1, Mm. Mhm. [laughs] [laughs] [laughs] You just like Leave him his joust for me and he will lose his shit. [laughs] Yeah [laughs] It will just That's pretty good. Trust me.,
4,0, lose his shit. [laughs] Yeah [laughs] It will just That's pretty good. Trust me. [laughs] Or you can just be like s-  He has a sense of humor Yeah.,
5,1, Actually Since you are being so helpful. Since you've been volunteered Yeah. I will Thank you. Girls do love ordering men around I just love ordering everybody around [laughs] I can make more Gender. Yeah That's true.,
6,0, All this stuff you'd actually have to think about as a designer Yeah. Yeah. It it'll also y- that you can pick a company that will have all the factors that you'd want them to think about. Yeah. And so Yes Yeah Hmm.,
7,0, There's your sweets. Oh [laughs] [laughs] uh-huh [laughs] I want more. My body will not appreciate more. Oh. It'll be at sugar overload.,
8,1, I'll try to spell something over there. [noise] No [noise] So just build off meanie [laughs] No I'm I'm being a [inaudible 1:48:53.40] [laughs] Um [noise] Will we will we accept kitten spelled like this? [laughs] That's not quite. Sudden Kitten Yeah.,
9,0, This is acceptable. Terrible [laughs] [laughs] You're terrible. We will It's like toddler phonetics pronunciation. Yeah. Yes.,
10,1, Mhm. Well Yes. Where b- it's like that that that will always be It it couldn't be like ballooner. Turn it into Balloonay. No So then baloney and it cuz you can make it into balloon.,
11,1, eleven-ish? Ooh So it's ready to go. I'm gonna take my rings off Tasty I'm so hungry Oh that's a good idea Oh yeah I'll take mine off I keep having these nightmares that my engagement ring will like get lost Oh yeah [laughs] Soon you'll have one Get lost? I keep guilting Shan Mhm Oh really? You think someone you think someone's it's bent eh What did I do?,
12,0,19] Yeah but you found out in your thir- third year of school [laughs] No I got it [laughs] Yeah why don't you That's why was like These are really Oh Because Shandryn Hold on Do you want cheese? Do you have to be a student to get a membership there? No it's like I think it's seventy dollars for the semester or something if you're not a student there Oh even that's so cheap Yeah Yeah That's pretty cheap Babe I think you need to shred more cheese K I think you need to fill yours up Oh I will Oh ok well Yeah Question Do you guys want your peppers Length? Or what Length [inaudible 0:18:50.40] Length and then cut width [laughs] K [laughs] [laughs] Just make it confusing I need to eat And do you want some pepperoni?,
13,0, I did [laughs] [laughs] Is this good? No Want some? Mhm Yeah my dad will grill pineapple and put brown sugar on it Do you guys Oh It's so good Are you guys all about the cheesiness or what Yeah that sounds good Mhm This is falling off We love cheese Oh Mm mm mm Cheesy Cheese will keep us together Left right left Okay K I'm done your Oh Good Where's the spinach? We're gonna ha- we're gonna I dunno how thin people want them You know I don't think it's a good deal So you been working long Yeah I mean [noise] I don't mind it right now Well Well yeah of course Cuz the extra money's kinda nice Yeah we have like a couple big expenses coming up Yeah? I dunno Well that'll help Honeymoon We're we're having a big dinner party Oh really?,
14,1, Um We were at first But we're gonna try to Yeah Instead of six to two thirty or whatever So Well like the only thing I was thinking like I work nine days or whatever right But then five days off Yeah Well that's just how It doesn't make sense for you to go on a five days back to school back and forth right I see We still have a lot of stuff we have [inaudible 0:34:25.10] North Van maybe but I dunno Yeah I see And then we can both live in Whistler for the year Yeah Best case scenario Then we're all in Vanco- yeah Done Yeah And that's what we have to strive for Yeah That's awesome That would be Cookies? It'll work out Well Oh no they're in there Oh Oh well we don't have to make those ones Yep [laughs] True Be nice Oh I will [inaudible 0:34:57.06] I dunno [laughs] You don't wanna How many totes of Where's my Do you wanna make cookies from Like from [inaudible 0:35:07.30] Scratch?,
15,0, Yeah yeah [noise] Anyway so I wanna put like brighter lights in [inaudible 0:45:26.80] So I was thinking of these like Philips um Mhm Ultra H i Okay They're like just like normal Those the kind that like No no they're not that bright Yeah Oh okay They're like four thousand k which is like kinda average Mhm [noise] Anyway so but then I was like Like a brighter bulb In the casing of the r- okay the On you're worried about the fuse Yeah yeah You know? Because if you put a brighter bulb in the [noise] It's gonna The original reflector Yeah Then it might like I think it would be fine So I was like oh will it wreck it? He's like my boss tried it Yeah [noise] [noise] Like since it's reflecting at a brighter like Does it wear out faster? It'll like break the reflector Yeah But I read up online and there was Mm Unless you put like a HID or something I mean like what's a bulb What I n- what's a [noise] One of those ones I think they're like three thousand so it's a l- just a little bit higher Mm So Yeah cuz I dunno if you knew Yeah Or xenon ones right I see Yeah gas filled I'm not sure about that I think so You see people doing them all the time I know and that's what confu- I'm I'm o- I just wanna wait for that Thanks though You see like old vehicles have like brighter I d- yeah I know and I was like They probably just put it in Yeah What's the manual say?,
16,0, Have you got friends leaving? Number six Well Huge huge You're more than welcome to come to us There might be family drama Really? Oh Really nice cars And if you're Cuz Sylvia's new husband will be there The uh The suspension stuff? Mm Yeah Um Huge company Hm Yeah I can go down to the States now so if Allison and Marcus wanna host Sweet I'll check it out Yeah we were thinking of maybe doing friendsgiving That would be cool Mkay well I could ask M- Marcus and Allison cuz they did say like n- last year that they wanted to do it next year and if they Mhm Yeah Yeah [laughs] That's interest- that's interesting Oh believe me I know [noise] [laughs] [noise] Mm But would they wanna do American Thanksgiving? But just so cool that they get to like You know [inaudible 0:49:16.,
17,1, Mm Yeah Um Huge company Hm Yeah I can go down to the States now so if Allison and Marcus wanna host Sweet I'll check it out Yeah we were thinking of maybe doing friendsgiving That would be cool Mkay well I could ask M- Marcus and Allison cuz they did say like n- last year that they wanted to do it next year and if they Mhm Yeah Yeah [laughs] That's interest- that's interesting Oh believe me I know [noise] [laughs] [noise] Mm But would they wanna do American Thanksgiving? But just so cool that they get to like You know [inaudible 0:49:16.53] Have a house I know it's not fair [laughs] it's not fair [laughs] I know Shandryn was telling me about that [laughs] We'll get there I know I'm like even with like Matt in his car Maybe the housing market will crash [noise] Go like Earn it You pay for your vehicle right Yeah I mean it's sweet [noise] Mhm I think You don't feel like it's yours then Yeah I think Gave us a certain amount to help us with our first car Yeah Yeah But not the entire thing Yeah [laughs] But every every parent does it differently right Yeah [noise] I know that's Cuz then I dunno if you It's doesn- doesn't feel like it's yours if you're not paying for it [laughs] Yeah When you're making payments and you're like regretting buying a car? [laughs] it's like Then it's different Yeah I got a new license plate today I saw that. You got [inaudible 0:50:12.,
18,1, yeah [inaudible 1:03:22.70] [noise] should I turn just this off than yeah I'm just turn it off and just keep it warm in there yeah what are you doing? [noise] yeah yeah okay yeah it's tough when you have to I guess we can get so in the winter yeah uh [noise] li- li- like excuse me we we decided now not we're just gonna have to cut all in there when to get another car oh yeah cuz my shift will change so I I'm gonna drive her to the their they'd everything the same way right sky train in the morning yeah yeah see how that works so how did your suspension freeze in the winter was it salt or was it it wasn't frozen yeah was it just seized but it was seized [inaudible 1:03:51.77] okay and what happened was minor adjustable I know seriously which is great I mean yeah I had like firstly I had no idea what Paul was talking about suspension freeze yeah you need it for the winter [inaudible 1:04:05.30] you can go you can go from you know [inaudible 1:04:07.,
19,1,47] as mine still sure as yours okay so if you buy this pan you know which one to buy now. so in in the front it just uh yeah jus- jus- spring its a shock with a spring in front the back is just a the spring yeah the back is separate yeah yeah can you um move for a second the back apparently is super easy to do right unscrew and I have uh I have uh if you wanna come over here and do it I have a yeah [noise] uh what's that called impact oh from yeah yeah so you just put on the yeah um voom voom voom from you from whom I got you what was it for? I don't know your birthday your birthday so this is pretty much uh mine are purple they could be yeah but that's that's exactly it and then yeah exactly the yellow one yeah yeah oh ours is on yeah these are adjustable too so that's you adjust them there for the back and than the front is just there oh thank you uh-huh yeah the top just does a coil yeah yep so it's super easy one bolt and than one bolt and than the back there's actually no bolts it just sits yeah yeah it sit yea- you kind twist it in there yeah it's yeah it just sits in in the kind of uh I watched a couple already Youtube clips of people doin' it yup it doesn't look that bad the hardest is the front you just gotta yeah so take out the spring with the compressors yeah under the top yeah under the top yeah cuz cuz that's actually and than everything will just follow actually the bottom knuckle's the hard part I think to undo uh cuz that's where you have to take like the whole knuckle apart for [laughs] [laughs] [laughs] [laughs] what how it looks? whatever ours probably tastes better no it all goes in your stomach and it all looks like this after or worse [laughs] [laughs] okay let me pray and then we'll go for ooh from there Lord thank you for this food thank you for everything that you given us uh friends and uh loved ones and yeah I just pray for this evening that we will enjoy and the girls would learn lots and the guys would [noise] um laugh lots and uh yeah we pray this in your name Amen amen thanks for taking this out girls where did my oh you have my phone hm yeah sorry all depends on what you want if you wan- uh adjustable or not I think so because I'll need it for the winter I think throw what I don't wanna lower it and than I can't [inaudible 1:08:02.55] can't do it put the snow on the wheel well and you can't drive yeah oh yeah yeah man like I'd put mine up like [noise] [laughs] literally [laughs] we drove outta here like the first time we drove it and we went over a speed bump and I was going like sixty I was like woah four by four [laughs] like no scraping nothing right [laughs] [laughs] so nice I love it yup she loves the winters [laughs] [laughs] you bought him out [laughs] cuz you lowered yours all the way probably eh [noise] oh yeah [laughs] and you have to like like pretty much like squat to like get in and it's not gonna I step in [laughs] yeah it's like a workout and a mode of transportation all in one [laughs] that's what I'm getting to but it looks sweet yeah [laughs] [inaudible 1:08:52.,
20,1, just follow actually the bottom knuckle's the hard part I think to undo uh cuz that's where you have to take like the whole knuckle apart for [laughs] [laughs] [laughs] [laughs] what how it looks? whatever ours probably tastes better no it all goes in your stomach and it all looks like this after or worse [laughs] [laughs] okay let me pray and then we'll go for ooh from there Lord thank you for this food thank you for everything that you given us uh friends and uh loved ones and yeah I just pray for this evening that we will enjoy and the girls would learn lots and the guys would [noise] um laugh lots and uh yeah we pray this in your name Amen amen thanks for taking this out girls where did my oh you have my phone hm yeah sorry all depends on what you want if you wan- uh adjustable or not I think so because I'll need it for the winter I think throw what I don't wanna lower it and than I can't [inaudible 1:08:02.55] can't do it put the snow on the wheel well and you can't drive yeah oh yeah yeah man like I'd put mine up like [noise] [laughs] literally [laughs] we drove outta here like the first time we drove it and we went over a speed bump and I was going like sixty I was like woah four by four [laughs] like no scraping nothing right [laughs] [laughs] so nice I love it yup she loves the winters [laughs] [laughs] you bought him out [laughs] cuz you lowered yours all the way probably eh [noise] oh yeah [laughs] and you have to like like pretty much like squat to like get in and it's not gonna I step in [laughs] yeah it's like a workout and a mode of transportation all in one [laughs] that's what I'm getting to but it looks sweet yeah [laughs] [inaudible 1:08:52.10] [inaudible 1:08:54.,
21,1,80] uh- uh [noise] cuz oh mother [laughs] [laughs] I hate that [laughs] [noise] everything just dropping on [laughs] you if you go right at seven right when they open nothing's stocked yet hm you gotta wait a little bit for them to stock it all and then you go and it's all stocked tell them tell them to hustle uh-huh I should yeah the night shift hey hurry up that enough milk [laughs] just one glass its not a big deal [laughs] [noise] [laughs] [inaudible 1:11:01.10] [laughs] what you don't drink one milk? one cup of milk he's not No I do its just a lot he's not wrong [laughs] enough cheese huh [laughs] [laughs] you guys excited for tonight or what mhm [noise] yeah It'll be fun uh-huh are you guys starting back-up cuz you haven't done it in a while right its been a It's been like two months um yeah yeah hm yeah yeah the summer I yeah feel like I kinda like took the summer off mhm are you guys still on the same book uh-huh uh-huh this is only like what forth time we've met This will be the fifth this will be group session number five so there's only one more group session after this one fifth uh-huh [inaudible 1:11:23.80] Val's probably so excited that its at her house [laughs] I feel bad cuz its far right yeah um uh-huh [noise] well we're all spread out everywhere you know Val's in West Van Shandy's on Grant we're all you and the other three are pretty close like where does Jorden and Alyssa live? off Canada Way [noise] just up like five minutes from Mat oh so they're in Burnaby too oh okay uh-huh same building as Jordan and Lindsay oh yeah got you [laughs] they're like ten minutes from here than probably uh-huh what's it four o'clock uh-huh uh-huh early dinner hey well Val and her sister are making dinner oh really?,
22,1,32] oh ten it's is I though it was x you're no you're not suppose you're not suppose to say iPhone te- x no its a ten its a ten according to the guy ten iPhone eight and iPhone ten what did I say ten yeah ten you said ten I just I just saw it like an ad for it and it just said iPhone x X the Roman numeral like cuz its Roman numeral so I didn't realize it was a ten I just thought it oh yes yes oh I I'm pretty sure it's ten oh okay isn't it there's the the new one out right now is eight the eight yeah the ten is coming in November the eight yeah the eight yeah yeah oh they're skippin nine yeah th- I don't know why that's really confusing but yeah f oh interesting because I think its so new that they're just like starting at zero but it's ten they're just trying to get ahead of everyone else [inaudible 1:38:44.92] no it- you no you said it's their tenth no yeah because its the tenth year oh since they've had iPhones oh so they wanna put one out so they kinda okay I got you oh so they kinda skip nine I don't know if they're gonna go bring out eight right now which they have and then go ten and then go back to nine I'm not sure yeah I think they are no I don't think they would do that which is weird I don't think they'd do that they probably did when iPhone like they called the original iPhone the iPhone and then the second year they probably called it iPhone something but then the the third year probably got iPhone two or something like that two yeah yeah yeah right [noise] just skipped like something like that yeah so now they go off and somebody I looked at this video online and he's like you're not su- like he was like serious about it he's like you're not suppose to say iPhone x like its a big thing or something yeah oh really [noise] which is like that's what everyone is gonna call it so what's what's cool about it? well uh it's all glass yeah the whole thing is glass so there's no and there's no home button there's no right so like that's what it is now isn't it and its facial recognition so there's no cod- well there is a code still okay that's weird to me but you can you can go like that either or if this doesn't work yeah yeah yeah uh what are the other features I don't know I don't know uh emojis so you can like e- you know how you can like send a emoji like I don't know a smiley face yeah yeah you can like In your messages you can like talk and then emoji will um likes talk as well like oh have facial expressions and stuff and you can oh woah really oh send that to them interesting you can be like have a nice day with a smiley face or whatever hm that's pretty cool um what else um yeah but its like I'm gonna look it up its like thirteen hundred bucks right the new ones right now are a thousand that's crazy yeah well its two hundred fifty giga by- uh gigs right that's crazy that's crazy what is it that's what mine is right now mine's a one twenty eight I think I have a sixty four gig yeah that's the highest it goes right now yeah [inaudible 1:40:21.85] so two hundred fifty how the iPhone eight could end up hurting the app [noise] [noise] hurting the apple and the iPhone x well because they're coming out with like two phones or ten sorry I don't know you can say x I don't care yeah I call it x cuz I would go for the cheaper one then yeah well I need to update soon cuz my phone's messed up there's I have an iPhone four I need to update soon [laughs] [inaudible 1:40:46.72] [laughs] well what what's yours my my mine um woah this is what it looks like all right yeah oh yeah that's crazy there's like a tiny little bezel up top for the cameras yeah there's cameras there's the facial ignit- uh I guess that's a camera yeah um it's got uh flash on both sides of them I'm pretty sure I'm not sure oh woah wait maybe it'll do it again oh no it won't I just like unlocked and then to swipe you know how you press home to go back to the home page you just like swipe up yeah [inaudible 1:41:24.,
23,0,60] uh how many of you can have as many of these as you want right yeah [inaudible 1:53:30.37] you have to did you go yeah two [inaudible 1:53:22.67] wait you need some face up no no those will be the face up ones oh oh oh okay you just draw from the top if you wan-  yeah it's just like oh oh oh so you don't have to pass them to us I see I will grab a locomotive please [inaudible 1:53:48.10] those are mine those are mine [laughs] is it me sorry? yeah [laughs] you want [inaudible 1:53:49.,
24,0, True. They might be [laughs] Yeah Yeah And that's like a straight line. She might have like four five Yeah Right Points will balance out. They're just They're just little probably Did you? Oh I'm picking.,
25,0, Yeah We have to get there a minimum Like early like latest sorry at Seven o'clock. That's fine. For will call Latest seven. I'll tell them six forty five because they're always late. [noise] Yeah.,
26,0, Ooh to caramelize. Is that what you mean? [noise] I don't know if it will caramelize or not. Yeah. But we'll see.,
27,0, We had that good meal. [laughs] [noise] [noise] Mmm. [redacted] [laughs] [noise] Transcr- these transcribers will be like [laughs] [laughs] Something something [laughs] [laughs] No [noise] [noise] Mmm. Mmm. No [noise] Which one's better?,
28,1, Um so there's that. And then we're gonna go to like the Maritimes. And some some places will be really cold. [noise] [noise] Through Chicago. Yeah Um Which places?,
29,0, Yeah Um Which places? No [noise] Oh. Like so some some parts you'll be like totally fine and then other parts will have snow. [noise] So We'll have to drive really slow. [noise] Oh my gosh No.,"This one is a akin to ""I haveto work late tomorrow"""
30,0, Like Based on uh personalities. Realtors. The way they sell a house is like They will like Staging. The [noise] Cuz the homes are like fifteen million dollars A hundred thousand. Yeah Like crazy marketing and like yeah But they actually get the house sold [noise] It's crazy.,
31,0, See? When they're not trolling they're actually pretty good and nice. [laughs] [laughs] I'm sure we will be resourceful. [laughs] We don't troll. Stayed in the car the whole time.,
32,0, So we don't need the tarp Yes N- no you need to use tarp for the bottom. Yes And the top. You can tie it up into trees You can also do the If it Oh yes like the tarp will be your friend. Yes. My friend.,
33,1, Um So [noise] What So I'll use this part. Okay. Claire will use this and Mike will use that. For your board. So you need to pick a board first.,
34,1, What? No But what if we don't finish the game? K We will finish the game uh-huh. Ah. Thanks hun.,
35,1, Oh Some people are just born better. So at the top of your board Yeah. you guys will advance up on the little squares. One blue and one red. Where?,
36,1, Can only get one dwelling. Yep. So Jeff will go first So I go last? No [noise] Or Okay Um place one of your dwellings on a space on the board. Okay.,
37,1, So yeah [noise] I have to terraform so it cost me three dudes Um so [noise] Where though? Yep. And then I will build which costs me one and two It's this one Um Don't touch my workers. [noise] Oh Shit. [inaudible 1:40:44.,
38,1, Um [noise] Yeah. Yeah [noise] K. [noise] Okay I I will end my turn as well. Doot. Mm.,
39,0, And I get a favor tile. Okay. So while you're doing that Wow I will do my thing Okay. Um I will When you upgrade [noise] Can you move me up two on the brown track? and six Or or yeah.,
40,1, do my thing Okay. Um I will When you upgrade [noise] Can you move me up two on the brown track? and six Or or yeah. Yeah yeah.,
41,1, One two three. Okay. And then I will do Hmm. I'll do three victory points. Oh.,
42,0, Maybe they fell asleep? Yeah It could also take two and a half hours Yeah. I will No Oh. They start wrapping up after two hours. Oh.,
43,1, Oh. Have to [noise] End my turn. [noise] And I will get [noise] Thanks. [noise] This one. Okay [noise] Ugh Do you plan well?,
44,1, If I have three shipping can I go one two Sorry? It goes one two three and then you can build there Oh Okay Okay Okay. [noise] I will get my stronghold So I swap this out. I get f- I get five points or something for that? Yep.,
45,1, One two three four five. Wow. [noise] [noise] Okay I will um spend three power to get a bridge. And I'll do this. Um Yep.,
46,1, Hello? Are you okay? Um [laughs] [laughs] [noise] Um I will That's sweet. So I don't have terraform but I'm gonna tunnel. So when I tunnel um it'll be one to tunnel What?,
47,1, [noise] You didn't get a stronghold yet You get five victory points to build a stronghold this round. Yeah. Yeah Mkay I will upgrade two trading posts. [noise] Which one? [inaudible 2:28:55.,
